iter	MultiClass
0	2.037670519
1	1.736202324
2	1.286207717
3	1.090527157
4	0.9531377462
5	0.8560134506
6	0.7782645744
7	0.818356076
8	0.836691808
9	0.8061881798
10	0.7848724148
11	0.7564734255
12	0.732098923
13	0.7134029688
14	0.7037262136
15	0.6923827189
16	0.6828996012
17	0.6750601945
18	0.670802394
19	0.6333423253
20	0.6296057731
21	0.6244505686
22	0.6149033569
23	0.6039638047
24	0.600310151
25	0.598408469
26	0.5945300792
27	0.5929216877
28	0.5903679734
29	0.5880698902
30	0.5506860989
31	0.5369733203
32	0.5349181793
33	0.5310880326
34	0.5292114676
35	0.5260664216
36	0.5235466412
37	0.5218954945
38	0.5200549557
39	0.5188421109
40	0.5177236439
41	0.5169523357
42	0.5124849386
43	0.5104184577
44	0.5086365872
45	0.507778691
46	0.5071082121
47	0.5049960982
48	0.5027039659
49	0.5015652578
