iter	Passed	Remaining
0	21297	1043590
1	42616	1022801
2	63727	998397
3	86374	993311
4	109073	981658
5	131998	967987
6	154613	949767
7	177437	931547
8	198420	903913
9	219735	878941
10	242967	861428
11	264314	836995
12	287233	817509
13	309161	794986
14	329647	769177
15	350740	745324
16	371474	721097
17	391729	696407
18	411916	672075
19	433708	650563
20	453686	626519
21	474214	603546
22	495015	581104
23	516761	559824
24	536627	536627
25	555849	513091
26	576228	490861
27	595733	468076
28	615058	445387
29	634812	423208
30	656589	402425
31	678554	381687
32	698127	359641
33	718234	337992
34	737832	316214
35	757950	294758
36	777763	273268
37	797517	251847
38	819857	231241
39	840829	210207
40	861847	189186
41	881768	167955
42	902477	146914
43	924060	126008
44	945101	105011
45	965545	83960
46	985963	62933
47	1007674	41986
48	1029858	21017
49	1050862	0
